t 1 2 3 4 jK0100 jL0203 jL1
2.58e-06 -2782.24 25197.4 -2006.86 10000 15.7935 15.7935 220.659
2.59e-06 -2989.43 24930.6 -2156.31 10000 17.5471 17.5471 217.773
2.6e-06 -3192.37 24635.9 -2302.69 10000 19.2921 19.2921 214.683
2.61e-06 -3390.87 24313.4 -2445.87 10000 21.0266 21.0266 211.391
2.62e-06 -3584.73 23963.2 -2585.7 10000 22.7484 22.7484 207.903
2.63e-06 -3773.76 23585.5 -2722.06 10000 24.4557 24.4557 204.224
2.64e-06 -3957.81 23180.7 -2854.81 10000 26.1464 26.1464 200.358
2.65e-06 -4136.68 22749 -2983.83 10000 27.8186 27.8186 196.311
2.66e-06 -4310.21 22290.7 -3109.01 10000 29.4702 29.4702 192.087
2.67e-06 -4478.26 21806.1 -3230.22 10000 31.0993 31.0993 187.693
2.68e-06 -4640.66 21295.7 -3347.36 10000 32.7039 32.7039 183.134
2.69e-06 -4797.28 20759.8 -3460.33 10000 34.2822 34.2822 178.415
2.7e-06 -4947.97 20198.9 -3569.03 10000 35.8323 35.8323 173.542
2.71e-06 -5092.61 19613.4 -3673.36 10000 37.3521 37.3521 168.522
2.72e-06 -5231.07 19003.9 -3773.23 10000 38.84 38.84 163.36
2.73e-06 -5363.24 18370.8 -3868.57 10000 40.2941 40.2941 158.063
2.74e-06 -5489.01 17714.8 -3959.29 10000 41.7125 41.7125 152.637
2.75e-06 -5608.29 17036.3 -4045.32 10000 43.0935 43.0935 147.088
2.76e-06 -5720.98 16336.1 -4126.61 10000 44.4354 44.4354 141.423
2.77e-06 -5826.99 15614.7 -4203.08 10000 45.7365 45.7365 135.649
2.78e-06 -5926.26 14872.9 -4274.68 10000 46.9951 46.9951 129.773
2.79e-06 -6018.71 14111.2 -4341.37 10000 48.2096 48.2096 123.8
2.8e-06 -6104.28 13330.5 -4403.09 10000 49.3784 49.3784 117.739
2.81e-06 -6182.93 12531.5 -4459.82 10000 50.5 50.5 111.595
2.82e-06 -6254.6 11714.9 -4511.52 10000 51.573 51.573 105.376
2.83e-06 -6319.27 10881.6 -4558.16 10000 52.5958 52.5958 99.0895
2.84e-06 -6376.89 10032.2 -4599.73 10000 53.5671 53.5671 92.7414
2.85e-06 -6427.46 9167.83 -4636.2 10000 54.4856 54.4856 86.3393
2.86e-06 -6470.97 8289.14 -4667.58 10000 55.35 55.35 79.89
2.87e-06 -6507.4 7397.07 -4693.86 10000 56.159 56.159 73.4009
2.88e-06 -6536.76 6492.5 -4715.04 10000 56.9116 56.9116 66.8788
2.89e-06 -6559.06 5576.36 -4731.12 10000 57.6065 57.6065 60.3309
