t 1 2 3 4 5 6 7 8 9 10 11
0.0100731 -0.878387 -10 -0.098311 0 -0.198617 -0.0911563 0 -0.18238 -0.898625 10 10
0.0100857 -0.878379 -10 -0.0979991 0 -0.198277 -0.0911489 0 -0.182371 -0.898286 10 10
0.0100982 -0.878372 -10 -0.0977308 0 -0.197977 -0.091143 0 -0.182365 -0.897988 10 10
0.0101108 -0.878367 -10 -0.0975082 0 -0.197721 -0.0911386 0 -0.182359 -0.897733 10 10
0.0101234 -0.878363 -10 -0.097333 0 -0.19751 -0.0911357 0 -0.182355 -0.897523 10 10
0.0101359 -0.87836 -10 -0.0972057 0 -0.197346 -0.0911341 0 -0.182352 -0.897359 10 10
0.0101485 -0.878359 -10 -0.0971264 0 -0.19723 -0.0911339 0 -0.182351 -0.897243 10 10
0.010161 -0.878359 -10 -0.0970941 0 -0.19716 -0.0911349 0 -0.182351 -0.897173 10 10
0.0101736 -0.87836 -10 -0.0971076 0 -0.197137 -0.0911371 0 -0.182352 -0.897149 10 10
0.0101862 -0.878362 -10 -0.0971646 0 -0.197158 -0.0911404 0 -0.182355 -0.89717 10 10
0.0101987 -0.878366 -10 -0.0972625 0 -0.197222 -0.0911446 0 -0.182358 -0.897233 10 10
0.0102113 -0.87837 -10 -0.097398 0 -0.197325 -0.0911497 0 -0.182362 -0.897336 10 10
0.0102238 -0.878375 -10 -0.0975676 0 -0.197465 -0.0911555 0 -0.182367 -0.897475 10 10
0.0102364 -0.878381 -10 -0.0977671 0 -0.197638 -0.0911618 0 -0.182373 -0.897647 10 10
0.010249 -0.878387 -10 -0.0979925 0 -0.197839 -0.0911686 0 -0.182379 -0.897847 10 10
0.0102615 -0.878393 -10 -0.098239 0 -0.198065 -0.0911757 0 -0.182386 -0.898072 10 10
0.0102741 -0.8784 -10 -0.0985021 0 -0.198312 -0.091183 0 -0.182393 -0.898317 10 10
0.0102866 -0.878407 -10 -0.0987771 0 -0.198573 -0.0911904 0 -0.1824 -0.898578 10 10
0.0102992 -0.878414 -10 -0.0990592 0 -0.198846 -0.0911977 0 -0.182407 -0.898849 10 10
0.0103118 -0.878422 -10 -0.0993439 0 -0.199124 -0.0912048 0 -0.182415 -0.899126 10 10
0.0103243 -0.878428 -10 -0.0996268 0 -0.199405 -0.0912117 0 -0.182421 -0.899405 10 10
0.0103369 -0.878435 -10 -0.0999035 0 -0.199683 -0.0912182 0 -0.182428 -0.899682 10 10
0.0103494 -0.878441 -10 -0.10017 0 -0.199954 -0.0912243 0 -0.182434 -0.899952 10 10
0.010362 -0.878447 -10 -0.100423 0 -0.200214 -0.0912299 0 -0.18244 -0.900211 10 10
0.0103746 -0.878452 -10 -0.100659 0 -0.20046 -0.0912349 0 -0.182446 -0.900456 10 10
0.0103871 -0.878457 -10 -0.100875 0 -0.200689 -0.0912393 0 -0.18245 -0.900684 10 10
0.0103997 -0.878461 -10 -0.101069 0 -0.200898 -0.0912431 0 -0.182455 -0.900893 10 10
0.0104122 -0.878465 -10 -0.101238 0 -0.201084 -0.0912462 0 -0.182458 -0.901078 10 10
0.0104248 -0.878468 -10 -0.101381 0 -0.201247 -0.0912487 0 -0.182461 -0.90124 10 10
0.0104374 -0.87847 -10 -0.101498 0 -0.201383 -0.0912505 0 -0.182463 -0.901376 10 10
0.0104499 -0.878472 -10 -0.101586 0 -0.201492 -0.0912516 0 -0.182465 -0.901485 10 10
0.0104625 -0.878473 -10 -0.101647 0 -0.201575 -0.0912521 0 -0.182466 -0.901567 10 10
0.010475 -0.878473 -10 -0.10168 0 -0.201629 -0.0912521 0 -0.182466 -0.901622 10 10
0.0104876 -0.878473 -10 -0.101686 0 -0.201657 -0.0912514 0 -0.182466 -0.901649 10 10
0.0105002 -0.878472 -10 -0.101666 0 -0.201658 -0.0912502 0 -0.182465 -0.901651 10 10
