t 1 2 3 jxH0100
0.407 5.48806 3.14 3.14 5.48806
0.408 5.53411 3.16 3.16 5.53411
0.409 5.58016 3.18 3.18 5.58016
0.41 5.62621 3.2 3.2 5.62621
0.411 5.67226 3.22 3.22 5.67226
0.412 5.71832 3.24 3.24 5.71832
0.413 5.76437 3.26 3.26 5.76437
0.414 5.81042 3.28 3.28 5.81042
0.415 5.85647 3.3 3.3 5.85647
0.416 5.90252 3.32 3.32 5.90252
0.417 5.94857 3.34 3.34 5.94857
0.418 5.99463 3.36 3.36 5.99463
0.419 6.04068 3.38 3.38 6.04068
0.42 6.08673 3.4 3.4 6.08673
0.421 6.13278 3.42 3.42 6.13278
0.422 6.17883 3.44 3.44 6.17883
0.423 6.22489 3.46 3.46 6.22489
0.424 6.27094 3.48 3.48 6.27094
0.425 6.31699 3.5 3.5 6.31699
0.426 6.36304 3.52 3.52 6.36304
0.427 6.40909 3.54 3.54 6.40909
0.428 6.45514 3.56 3.56 6.45514
0.429 6.5012 3.58 3.58 6.5012
0.43 6.54725 3.6 3.6 6.54725
0.431 6.5933 3.62 3.62 6.5933
0.432 6.63935 3.64 3.64 6.63935
0.433 6.6854 3.66 3.66 6.6854
0.434 6.73145 3.68 3.68 6.73145
0.435 6.77751 3.7 3.7 6.77751
0.436 6.82356 3.72 3.72 6.82356
0.437 6.86961 3.74 3.74 6.86961
0.438 6.91566 3.76 3.76 6.91566
0.439 6.96171 3.78 3.78 6.96171
0.44 7.00777 3.8 3.8 7.00777
0.441 7.05382 3.82 3.82 7.05382
0.442 7.09987 3.84 3.84 7.09987
0.443 7.14592 3.86 3.86 7.14592
0.444 7.19197 3.88 3.88 7.19197
0.445 7.23802 3.9 3.9 7.23802
0.446 7.28408 3.92 3.92 7.28408
0.447 7.33013 3.94 3.94 7.33013
0.448 7.37618 3.96 3.96 7.37618
0.449 7.42223 3.98 3.98 7.42223
0.45 7.46828 4 4 7.46828
0.451 7.51433 4.02 4.02 7.51433
0.452 7.56039 4.04 4.04 7.56039
0.453 7.60644 4.06 4.06 7.60644
0.454 7.65249 4.08 4.08 7.65249
0.455 7.69854 4.1 4.1 7.69854
0.456 7.74459 4.12 4.12 7.74459
0.457 7.79065 4.14 4.14 7.79065
0.458 7.8367 4.16 4.16 7.8367
0.459 7.88275 4.18 4.18 7.88275
0.46 7.9288 4.2 4.2 7.9288
0.461 7.97485 4.22 4.22 7.97485
0.462 8.0209 4.24 4.24 8.0209
0.463 8.06696 4.26 4.26 8.06696
0.464 8.11301 4.28 4.28 8.11301
0.465 8.15906 4.3 4.3 8.15906
0.466 8.20511 4.32 4.32 8.20511
0.467 8.25116 4.34 4.34 8.25116
0.468 8.29721 4.36 4.36 8.29721
0.469 8.34327 4.38 4.38 8.34327
0.47 8.38932 4.4 4.4 8.38932
0.471 8.43537 4.42 4.42 8.43537
0.472 8.48142 4.44 4.44 8.48142
0.473 8.52747 4.46 4.46 8.52747
0.474 8.57353 4.48 4.48 8.57353
0.475 8.61958 4.5 4.5 8.61958
0.476 8.66563 4.52 4.52 8.66563
0.477 8.71168 4.54 4.54 8.71168
0.478 8.75773 4.56 4.56 8.75773
