t 1 2 3 4 5 jL0100 jL0201 jL0302 jL0403 jV0500
5.2 -0.454625 0.430165 0.790063 0.265116 1 -6.56991 -3.04914 3.1189 1.1174 3.52077
5.24 -0.431706 0.499832 0.745571 0.222726 1 -6.91442 -2.34451 3.27329 1.00214 4.56992
5.28 -0.402813 0.562468 0.69608 0.184915 1 -7.2388 -1.60865 3.37 0.888398 5.63015
5.32 -0.367924 0.617094 0.642826 0.151584 1 -7.53839 -0.852045 3.41062 0.778133 6.68635
5.36 -0.327107 0.662883 0.587039 0.122562 1 -7.80855 -0.0858544 3.39784 0.673004 7.7227
5.4 -0.280522 0.699182 0.529914 0.0976143 1 -8.04474 0.678274 3.33536 0.574359 8.72301
5.44 -0.228417 0.725524 0.472584 0.0764625 1 -8.24256 1.42842 3.22773 0.483233 9.67098
5.48 -0.171136 0.741643 0.416098 0.0587907 1 -8.39787 2.1526 3.08026 0.400355 10.5505
5.52 -0.10911 0.74748 0.361402 0.0442603 1 -8.5068 2.83901 2.89885 0.326166 11.3458
5.56 -0.0428593 0.743185 0.309318 0.0325203 1 -8.56587 3.47626 2.68983 0.260833 12.0421
5.6 0.027017 0.729116 0.260537 0.0232181 1 -8.57203 4.05357 2.45978 0.20428 12.6256
5.64 0.0998438 0.705829 0.215608 0.0160081 1 -8.52272 4.56104 2.21536 0.156219 13.0838
5.68 0.17488 0.674073 0.174933 0.0105601 1 -8.41593 4.98978 1.96315 0.116182 13.4057
5.72 0.25133 0.634768 0.138769 0.00656527 1 -8.25026 5.33219 1.70947 0.0835584 13.5825
5.76 0.328349 0.58899 0.107232 0.00374146 1 -8.02494 5.58206 1.46022 0.057632 13.607
5.8 0.405063 0.537943 0.0803066 0.0018365 1 -7.73986 5.73472 1.22075 0.0376163 13.4746
5.84 0.480576 0.482938 0.0578539 0.000630368 1 -7.39561 5.78719 0.995727 0.02269 13.1828
5.88 0.553983 0.425361 0.0396303 -6.40136e-05 1 -6.99348 5.73821 0.789033 0.0120291 12.7317
5.92 0.624391 0.366642 0.0253032 -0.000401298 1 -6.53544 5.58832 0.603688 0.00483518 12.1238
5.96 0.690925 0.308225 0.0144705 -0.000505209 1 -6.02418 5.33986 0.44179 0.000360348 11.364
6 0.752746 0.251534 0.00668154 -0.000470941 1 -5.46302 4.99695 0.304488 -0.00207376 10.46
6.04 0.809064 0.197945 0.00145822 -0.000368237 1 -4.85594 4.56543 0.191981 -0.00306144 9.42137
6.08 0.859151 0.14875 -0.00168336 -0.000244925 1 -4.2075 4.05276 0.103544 -0.00310412 8.26026
6.12 0.902352 0.105129 -0.00321236 -0.000130705 1 -3.5228 3.46788 0.0375773 -0.00260692 6.99069
6.16 0.938098 0.0681273 -0.00356378 -4.09578e-05 1 -2.80741 2.82111 -0.00831662 -0.00188042 5.62852
