t 1 2 3 4 5 6 7 jK0406 jL0406
1.62e-05 0.759534 10 -1.59726e-09 179.425 180 0.0962446 -17.9329 -0.000680698 0.575282
1.63e-05 0.759688 10 -1.6071e-09 179.421 180 0.0964705 -17.9325 -9.34518e-05 0.578869
1.64e-05 0.759835 10 -1.61694e-09 179.418 180 0.0966885 -17.9321 -0.000656118 0.582455
1.65e-05 0.759986 10 -1.62678e-09 179.414 180 0.0969126 -17.9317 -0.000116705 0.586042
1.66e-05 0.760132 10 -1.63662e-09 179.41 180 0.0971296 -17.9313 -0.00063354 0.589628
1.67e-05 0.760281 10 -1.64645e-09 179.407 180 0.0973521 -17.9309 -0.000138048 0.593214
1.68e-05 0.760425 10 -1.65629e-09 179.403 180 0.097568 -17.9306 -0.0006128 0.5968
1.69e-05 0.760572 10 -1.66612e-09 179.4 180 0.0977889 -17.9302 -0.00015764 0.600386
1.7e-05 0.760715 10 -1.67595e-09 179.396 180 0.0980038 -17.9298 -0.000593748 0.603972
1.71e-05 0.76086 10 -1.68579e-09 179.392 180 0.0982232 -17.9294 -0.000175624 0.607558
1.72e-05 0.761001 10 -1.69562e-09 179.389 180 0.0984371 -17.929 -0.000576244 0.611144
1.73e-05 0.761145 10 -1.70545e-09 179.385 180 0.0986551 -17.9287 -0.000192132 0.61473
1.74e-05 0.761284 10 -1.71528e-09 179.382 180 0.098868 -17.9283 -0.000560163 0.618316
1.75e-05 0.761426 10 -1.7251e-09 179.378 180 0.0990846 -17.9279 -0.000207286 0.621901
1.76e-05 0.761564 10 -1.73493e-09 179.375 180 0.0992966 -17.9275 -0.000545387 0.625487
1.77e-05 0.761704 10 -1.74476e-09 179.371 180 0.0995119 -17.9271 -0.000221197 0.629072
1.78e-05 0.761841 10 -1.75458e-09 179.367 180 0.0997229 -17.9268 -0.000531809 0.632658
1.79e-05 0.76198 10 -1.76441e-09 179.364 180 0.0999369 -17.9264 -0.000233967 0.636243
1.8e-05 0.762115 10 -1.77423e-09 179.36 180 0.100147 -17.926 -0.000519333 0.639828
1.81e-05 0.762252 10 -1.78405e-09 179.357 180 0.10036 -17.9256 -0.00024569 0.643413
1.82e-05 0.762386 10 -1.79387e-09 179.353 180 0.100569 -17.9252 -0.000507868 0.646998
1.83e-05 0.762521 10 -1.80369e-09 179.349 180 0.100781 -17.9249 -0.000256452 0.650583
1.84e-05 0.762654 10 -1.81351e-09 179.346 180 0.100989 -17.9245 -0.000497331 0.654168
1.85e-05 0.762788 10 -1.82333e-09 179.342 180 0.1012 -17.9241 -0.000266331 0.657753
1.86e-05 0.762919 10 -1.83315e-09 179.339 180 0.101407 -17.9237 -0.000487646 0.661338
1.87e-05 0.763051 10 -1.84296e-09 179.335 180 0.101617 -17.9233 -0.0002754 0.664923
1.88e-05 0.763181 10 -1.85278e-09 179.332 180 0.101823 -17.923 -0.000478745 0.668507
1.89e-05 0.763312 10 -1.86259e-09 179.328 180 0.102032 -17.9226 -0.000283725 0.672092
1.9e-05 0.763441 10 -1.87241e-09 179.324 180 0.102238 -17.9222 -0.000470563 0.675676
1.91e-05 0.76357 10 -1.88222e-09 179.321 180 0.102445 -17.9218 -0.000291368 0.679261
1.92e-05 0.763698 10 -1.89203e-09 179.317 180 0.10265 -17.9215 -0.000463041 0.682845
1.93e-05 0.763826 10 -1.90184e-09 179.314 180 0.102857 -17.9211 -0.000298385 0.686429
1.94e-05 0.763952 10 -1.91165e-09 179.31 180 0.103061 -17.9207 -0.000456127 0.690014
1.95e-05 0.764079 10 -1.92146e-09 179.306 180 0.103267 -17.9203 -0.000304826 0.693598
1.96e-05 0.764204 10 -1.93126e-09 179.303 180 0.103471 -17.9199 -0.00044977 0.697182
1.97e-05 0.764329 10 -1.94107e-09 179.299 180 0.103676 -17.9196 -0.000310738 0.700766
1.98e-05 0.764453 10 -1.95088e-09 179.296 180 0.103879 -17.9192 -0.000443926 0.70435
1.99e-05 0.764577 10 -1.96068e-09 179.292 180 0.104083 -17.9188 -0.000316166 0.707933
2e-05 0.7647 10 -1.97048e-09 179.289 180 0.104285 -17.9184 -0.000438552 0.711517
2.01e-05 0.764822 10 -1.98029e-09 179.285 180 0.104488 -17.918 -0.000321149 0.715101
2.02e-05 0.764944 10 -1.99009e-09 179.281 180 0.10469 -17.9177 -0.000433611 0.718684
2.03e-05 0.765065 10 -1.99989e-09 179.278 180 0.104892 -17.9173 -0.000325723 0.722268
2.04e-05 0.765186 10 -2.00969e-09 179.274 180 0.105094 -17.9169 -0.000429068 0.725851
2.05e-05 0.765306 10 -2.01949e-09 179.271 180 0.105295 -17.9165 -0.000329922 0.729435
2.06e-05 0.765425 10 -2.02928e-09 179.267 180 0.105496 -17.9162 -0.00042489 0.733018
2.07e-05 0.765544 10 -2.03908e-09 179.263 180 0.105697 -17.9158 -0.000333776 0.736601
2.08e-05 0.765663 10 -2.04888e-09 179.26 180 0.105897 -17.9154 -0.000421047 0.740184
2.09e-05 0.765781 10 -2.05867e-09 179.256 180 0.106097 -17.915 -0.000337314 0.743767
2.1e-05 0.765898 10 -2.06847e-09 179.253 180 0.106297 -17.9146 -0.000417514 0.74735
2.11e-05 0.766015 10 -2.07826e-09 179.249 180 0.106497 -17.9143 -0.000340562 0.750933
2.12e-05 0.76613 10 -2.08805e-09 179.246 180 0.106696 -17.9139 -0.000414264 0.754516
2.13e-05 0.766246 10 -2.09784e-09 179.242 180 0.106895 -17.9135 -0.000343544 0.758099
2.14e-05 0.766361 10 -2.10763e-09 179.238 180 0.107093 -17.9131 -0.000411274 0.761681
2.15e-05 0.766476 10 -2.11742e-09 179.235 180 0.107292 -17.9127 -0.000346281 0.765264
2.16e-05 0.76659 10 -2.12721e-09 179.231 180 0.10749 -17.9124 -0.000408525 0.768846
2.17e-05 0.766703 10 -2.13699e-09 179.228 180 0.107688 -17.912 -0.000348793 0.772429
2.18e-05 0.766816 10 -2.14678e-09 179.224 180 0.107886 -17.9116 -0.000405996 0.776011
2.19e-05 0.766929 10 -2.15656e-09 179.22 180 0.108084 -17.9112 -0.000351099 0.779593
2.2e-05 0.767041 10 -2.16635e-09 179.217 180 0.108281 -17.9109 -0.000403669 0.783176
2.21e-05 0.767152 10 -2.17613e-09 179.213 180 0.108478 -17.9105 -0.000353216 0.786758
2.22e-05 0.767263 10 -2.18591e-09 179.21 180 0.108675 -17.9101 -0.000401529 0.79034
