t 1 2 3 4 jK0200 jL1 jL2
1.37033 -8.71179 -0.871179 -2.26633 -0.481738 0.113363 1.13363 3.5252
1.37632 -10.8163 -1.08163 -2.17734 -0.58777 0.125288 1.25288 3.26987
1.3823 -12.7584 -1.27584 -2.06197 -0.684534 0.134296 1.34296 2.96163
1.38828 -14.5061 -1.45061 -1.92353 -0.770501 0.140324 1.40324 2.60515
1.39427 -16.0305 -1.60305 -1.76552 -0.844318 0.143365 1.43365 2.20588
1.40025 -17.3059 -1.73059 -1.59161 -0.904819 0.143478 1.43478 1.77001
1.40624 -18.3108 -1.83108 -1.40556 -0.951051 0.140776 1.40776 1.30432
1.41222 -19.0278 -1.90278 -1.21108 -0.982284 0.135427 1.35427 0.816119
1.4182 -19.4444 -1.94444 -1.01184 -0.998026 0.127651 1.27651 0.313094
1.42419 -19.5526 -1.95526 -0.811332 -0.998028 0.117711 1.17711 -0.196792
1.43017 -19.3496 -1.93496 -0.612859 -0.982291 0.105905 1.05905 -0.705438
1.43616 -18.8374 -1.88374 -0.419442 -0.951062 0.0925662 0.925662 -1.20473
1.44214 -18.0234 -1.80234 -0.233792 -0.904835 0.0780474 0.780474 -1.68669
1.44812 -16.9195 -1.69195 -0.0582634 -0.844338 0.0627177 0.627177 -2.14357
1.45411 -15.5426 -1.55426 0.105171 -0.770526 0.046953 0.46953 -2.56801
1.46009 -13.914 -1.3914 0.254942 -0.684561 0.0311276 0.311276 -2.95315
1.46608 -12.0592 -1.20592 0.389893 -0.587801 0.0156068 0.156068 -3.29275
1.47206 -10.0074 -1.00074 0.50928 -0.481771 0.000738546 0.00738546 -3.58128
1.47804 -7.79106 -0.779106 0.612763 -0.368143 -0.0131533 -0.131533 -3.81399
1.48403 -5.44535 -0.544535 0.700384 -0.248709 -0.0257761 -0.257761 -3.98706
1.49001 -3.00769 -0.300769 0.772543 -0.125353 -0.0368739 -0.368739 -4.09758
1.496 -0.517051 -0.0517051 0.829962 -2e-05 -0.0462328 -0.462328 -4.14367
1.50198 1.98666 0.198666 0.873644 0.125313 -0.0536847 -0.536847 -4.12445
1.50796 4.46324 0.446324 0.904826 0.24867 -0.0591109 -0.591109 -4.04012
1.51395 6.87286 0.687286 0.924929 0.368106 -0.0624435 -0.624435 -3.8919
1.51993 9.17671 0.917671 0.935503 0.481736 -0.0636665 -0.636665 -3.68205
1.52592 11.3376 1.13376 0.938177 0.587769 -0.0628156 -0.628156 -3.41383
1.5319 13.3207 1.33207 0.934596 0.684532 -0.0599765 -0.599765 -3.09142
1.53788 15.094 1.5094 0.926376 0.7705 -0.0552826 -0.552826 -2.7199
1.54387 16.6286 1.66286 0.915046 0.844317 -0.0489117 -0.489117 -2.30512
1.54985 17.8998 1.78998 0.902007 0.904818 -0.0410808 -0.410808 -1.85366
1.55584 18.887 1.8887 0.888484 0.95105 -0.0320417 -0.320417 -1.37268
1.56182 19.5742 1.95742 0.875494 0.982283 -0.0220741 -0.220741 -0.869795
1.5678 19.9501 1.99501 0.863817 0.998025 -0.0114795 -0.114795 -0.353015
1.57379 20.0086 2.00086 0.85397 0.998028 -0.000573884 -0.00573884 0.169445
1.57977 19.7488 1.97488 0.846197 0.982291 0.0103197 0.103197 0.689272
1.58575 19.1747 1.91747 0.840464 0.951063 0.0208787 0.208787 1.1982
1.59174 18.2957 1.82957 0.836459 0.904836 0.0307887 0.307887 1.68812
1.59772 17.1258 1.71258 0.833606 0.844339 0.0397507 0.397507 2.15126
1.60371 15.6841 1.56841 0.831084 0.770527 0.0474883 0.474883 2.58025
1.60969 13.9936 1.39936 0.827854 0.684563 0.0537539 0.537539 2.96828
1.61567 12.0819 1.20819 0.822692 0.587803 0.0583353 0.583353 3.30922
